Interview Id,Candidate Id,Interviewer Id,Profile,S.L.R.C,S.L.R.I,A.T.T,L.M.I,L.M.C,S.R,L.J.T.C,L.J.T.I,N.I.C,N.I.I,S.P.I,S.P.C,L.A.C,L.A.I,Q.A,P.E.I,P.E.C,COMPLIANCE Ratio,Interview duration,Interviewer Intro,Candidate into,Opp to ask,Status
691302971928,2655774132,194,Developer,0.98,0.02,53,88,93,32,88,106,41,66,42,47,13,15,6,Neutral,Neutral,98,37,No,Yes,Yes,Consider
921432643957,712384596,234,Sales,0.67,0.33,51,53,44,36,93,313,28,62,32,52,5,15,4,Neutral,Negative,54,33,No,No,Yes,Consider
47188389967,844553339.5,267,Program Manager,0.81,0.19,60,77,75,54,52,67,26,14,57,34,4,7,3,Positive,Positive,31,58,No,Yes,No,Consider
994374077188,6511106163,199,Marketing,0.69,0.31,93,42,103,49,115,166,62,55,65,75,10,10,7,Positive,Negative,24,35,No,Yes,No,Consider
350900658021,3487000990,221,QA Automation,0.57,0.43,44,44,119,66,190,394,7,32,36,74,13,7,3,Negative,Positive,73,60,Yes,Yes,No,Consider
658298411435,9715259284,246,Marketing,0.81,0.19,75,72,119,59,159,241,7,52,33,9,10,13,5,Neutral,Positive,41,44,Yes,No,Yes,May Consider
71834387732,1987518950,246,Program Manager,0.65,0.35,49,72,95,27,156,288,31,7,76,45,11,10,2,Positive,Positive,32,44,No,Yes,Yes,May Consider
490501477865,3822431373,228,Account Manager,0.65,0.35,66,59,99,34,37,208,14,44,61,35,1,3,3,Positive,Neutral,74,48,Yes,No,No,Consider
948614588914,205619112.6,267,Program Manager,0.52,0.48,36,113,117,63,87,86,6,69,60,60,6,6,6,Negative,Negative,70,43,Yes,Yes,Yes,Consider
631560448649,9357328786,197,Developer,0.91,0.09,27,82,51,66,45,218,26,60,50,64,6,19,7,Positive,Neutral,86,38,Yes,Yes,Yes,Consider
307010727111,2837013884,250,Marketing,0.72,0.28,24,74,108,60,191,126,29,59,76,15,2,4,6,Neutral,Neutral,44,22,Yes,No,No,May Consider
586925999090,1333054636,199,Data Scientist,0.81,0.19,116,51,83,57,84,331,12,27,81,35,9,17,2,Neutral,Neutral,27,22,Yes,No,Yes,Consider
160249132369,4542416014,213,Product Manager,0.82,0.18,50,40,110,48,65,102,29,67,88,58,4,1,2,Negative,Negative,33,51,No,Yes,No,Consider
